time,user,place,text
Sat Jan 01 18:28:30 +0000 2022,_carramello,"Birmingham, AL",Those were good times
Sat Jan 01 18:28:30 +0000 2022,jerrymmoss,"East Los Angeles, CA",@Leandat31 You too! \xf0\x9f\x8e\x89\xf0\x9f\x87\xba\xf0\x9f\x87\xb2\xf0\x9f\x8e\xb8\xf0\x9f\x8e\x87
Sat Jan 01 18:28:30 +0000 2022,tmj_ctm_pharm,"Shelton, CT","This Routine Lab Testing job might be a great fit for you. Click the link in our bio to see it and more. Cytogenetic Technologist-1st Shift at Labcorp Diagnostics #Shelton, CT"
Sat Jan 01 18:28:31 +0000 2022,QCPrice,"Charlotte, NC",This is how I rang in 1998.
Sat Jan 01 18:28:31 +0000 2022,jim_nonya,"Florida, USA",I own alot of panties!!!!!!
Sat Jan 01 18:28:31 +0000 2022,Aremuseyi,"Vaughan, Ontario",@arabnews Funny how they haven\xe2\x80\x99t banned travel to and from Israel yet
Sat Jan 01 18:28:31 +0000 2022,ailleursss,"Toronto, Ontario",@justinaversano Gm and Happy New Year Justin\xf0\x9f\x92\x95\xf0\x9f\xa5\xb3
Sat Jan 01 18:28:31 +0000 2022,Zingwedding,"Lyallpur, Pakistan",Hareem`s Very First Special day Where All Family Member  Gets To Gether To Celebrate Her Birthday  #zingeventplanner #1stbirthday#bday #birthday #happybirthday #party #love #happy #cake #friends  #Outdoor#hellobaby #smile #cute https://t.co/nKslXUDt4f
Sat Jan 01 18:28:31 +0000 2022,TrevorWhitehea1,"Georgia, USA",habits is too underrated
Sat Jan 01 18:28:31 +0000 2022,GiftedAndGoofy,"Nashville, TN",No way women get turned on watching that Boogie nigga air hunch on stage
Sat Jan 01 18:28:31 +0000 2022,4Leps10,"Louisville, OH",I mean it annoys me when I know the person is always on their phone but conveniently doesn't answer me. No reason not to text back unless you're actually busy. https://t.co/mhJ8YQfcCX
Sat Jan 01 18:28:31 +0000 2022,bmonies_1,"Argyle, TX",@cryptovvendetta HNY \xf0\x9f\x8c\x8e\xf0\x9f\x8e\x8a\n\nJoin the YOCOnauts on their journey around the YOCOverse! \xf0\x9f\xaa\x90\xf0\x9f\x9b\xb8\n\n#P2E game trailer coming soon!\xf0\x9f\x92\xb0\n\n@YocoinY @YOCOnaut \xf0\x9f\x9a\x80\n\nhttps://t.co/zoTbIs2m5e \xf0\x9f\x93\x84 \n\nhttps://t.co/MgStsAiUSk \xf0\x9f\x96\xbc \n\nhttps://t.co/YAKnAG2g1V \xf0\x9f\x92\xac\n\n#yoco #YOCOnaut #nfts #nft #Polygon #BSC #metaverse #metapets https://t.co/0nTxm3ofph
Sat Jan 01 18:28:32 +0000 2022,squaller7,"Pewaukee, WI",I miss Alan Rickman and I wish he was still with us \xf0\x9f\x92\x9a #ReturnToHogwarts
Sat Jan 01 18:28:32 +0000 2022,MNHockeyMag,"Minnesota, USA",Thanks to our sponsors for helping us get The Sieve and the Scribe podcast off the ground:\n@TomReidsPub\n@MFNCChiroNeuro\n@CrankyApe20 \n@HerbBrooksFDN\n@TimCortes9\n&amp; Dave\xe2\x80\x99s Sport Shop in Fridley\nhttps://t.co/qIanF7pvLq
Sat Jan 01 18:28:32 +0000 2022,Lassai_,"Manhattan, NY",@loveisthenewbag \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb0 thx friendddd
Sat Jan 01 18:28:32 +0000 2022,SteveMDownes,"Salt Lake City, UT",@VABVOX Several people including me.
Sat Jan 01 18:28:32 +0000 2022,Montreal,"Montréal, Québec",@philwahba Beautiful! \xf0\x9f\x8e\x89
Sat Jan 01 18:28:32 +0000 2022,FrecklesXX20,"New Mexico, USA",@BooBustie We would have loved the beefs!
Sat Jan 01 18:28:32 +0000 2022,AnkoRonnie,"Central, Kenya","Kuna wengine hatujafika cut off points.. new year, same person, same shit."
Sat Jan 01 18:28:32 +0000 2022,CB_Spidey,"Corpus Christi, TX","@singularity9000 @Pattyshack1999 @CosmonautMarcus Hasn\'t offered anything of substance as to why he appeared in thread, jumps on random people\'s threads concerning a hobby he doesn\'t indulge in to day ""I do this and others do too, so just do that"" and keeps the thread going by making asinine statements....\n\nYou\'re easy to read."
Sat Jan 01 18:28:32 +0000 2022,lndnkrh,"New York, NY","use me as your wallpaper, why don\xe2\x80\x99t you?\xf0\x9f\x8c\x9a https://t.co/6MAFRkBhug"
Sat Jan 01 18:28:32 +0000 2022,whokn_w,"San Francisco, CA",@NFTMTG are just generic @RTFKTstudios Clone X. Prove me wrong
Sat Jan 01 18:28:32 +0000 2022,AdamKoutz,"Enterprise, NV",@CarolinaCole24 My guy happy new year!
Sat Jan 01 18:28:33 +0000 2022,maiduniyya,"Ikorudu, Nigeria",@_Ewawunmi God bless you for putting smiles on people's faces. \nI pray \xf0\x9f\x99\x8f those with genuine needs win.\nAm using this opportunity to also thank God for His mercy upon me such that I no longer drop my handle for giveaway. \nI shall do giveaway on this street soonest bcuz I once benefited
Sat Jan 01 18:28:33 +0000 2022,DollFaceBeautii,"South Carolina, USA",You gonna be hard headed? \xf0\x9f\x98\x82
Sat Jan 01 18:28:33 +0000 2022,OfficialKKD__,"Ikeja, Nigeria","@yourhamperplug Check my pinned tweet, it might be just what you need."
Sat Jan 01 18:28:33 +0000 2022,kestwittwer,"Abia, Nigeria","Birthday depression is real. I no want again. Last year\xe2\x80\x99s birthday was unplanned but fun, I did have intentions of just being miserable though. This year, I reject it! I\xe2\x80\x99d be happy to celebrate and I wish that for all of you\xf0\x9f\x92\x95"
Sat Jan 01 18:28:34 +0000 2022,ZhaneSky,"Houston, TX","he better take me to some food trucks today, i\xe2\x80\x99ve been begginggggggg \xf0\x9f\x98\xa9"
Sat Jan 01 18:28:34 +0000 2022,jacks_kelvin,"Madison Heights, MI",@_iamfae Love the smile  \xf0\x9f\x98\x89
Sat Jan 01 18:28:34 +0000 2022,KateWulff,"Washington, DC",@onlineforfood @MattBruenig Footage of Carter sounds suspiciously like my dad telling me to put on a sweater and close the door because he's not paying to heat the outdoors. I'm shocked the nation didn't respond will to be lectured like children.
Sat Jan 01 18:28:34 +0000 2022,DavidTerrace2,"Lewisville, TX",@Lingzi_W I should do as how We feel together being the mood of the date.
Sat Jan 01 18:28:34 +0000 2022,pcdhyd,"Hayathnagar, India",@MoHFW_INDIA @PMOIndia @mansukhmandviya @ianuragthakur @DrBharatippawar @PIB_India @mygovindia @COVIDNewsByMIB @DDNewslive @airnewsalerts How is it possible sir when authorities not at all facilitating.\n\nYou wish me to share my experiences ?
Sat Jan 01 18:28:34 +0000 2022,mikefusko,"Perry Heights, OH",@stephanieck72 Happy Saturday and New Year!\xf0\x9f\x8e\x89\xf0\x9f\x8e\x86
Sat Jan 01 18:28:34 +0000 2022,StevenLucasChef,"Albany, CA","The REAL crisis is @GOP downplaying a medical emergency that is KEEPING car accident victims out of hospitals BECAUSE unvaxxed Covid victims are occupying every available hospital bed, because they listened to idiots like @marcorubio in the first place. \nYou are to blame, Marco!"
Sat Jan 01 18:28:34 +0000 2022,AddalineMoscato,"Toms River, NJ",Ctfu was sapose to wake up &amp; cook breakfast but since we go to sleep 3am &amp; wake up at 1pm in this house brunch it is\xf0\x9f\xa4\xa3
Sat Jan 01 18:28:34 +0000 2022,kermit_lover98,"Brooklyn, NY","trying rlly hard to enjoy my day of rest &amp; relaxation but knowing i have to go back to school next week business as usual and see over 90 kids a day has me stressed \xf0\x9f\xa4\xaa praying, manifesting we go remote before our unvaxxed kids are sent to get sick &amp; get their families sick"
Sat Jan 01 18:28:34 +0000 2022,VshwasBajaj,"Hisar, India","New year, New you? Really?"
Sat Jan 01 18:28:34 +0000 2022,BillMatory,"Georgetown, Washington",Following COVID Prevention Protocols Is Not Impossible\xe2\x80\xa6
Sat Jan 01 18:28:34 +0000 2022,Manchurian671,"Los Angeles, CA",@angel_0f_deathx A tall glass of water \xf0\x9f\x92\xa7 \xf0\x9f\x98\x8d \xf0\x9f\x98\x8b \xf0\x9f\x98\x89
Sat Jan 01 18:28:34 +0000 2022,bigdzone,"St Louis, MO",Same boat brother same boat
Sat Jan 01 18:28:34 +0000 2022,Byeee_Feliciaaa,"Jeannette, PA","Just posted a photo @ Jeannette, Pennsylvania https://t.co/PqyaTuQKil"
Sat Jan 01 18:28:34 +0000 2022,psorensen,"Chicago, IL",@IMcMillan You apparently hit the jackpot with this mother in law
Sat Jan 01 18:28:34 +0000 2022,ElianeMezher,Lebanon,@Ameen_media Happy New Year dear \xf0\x9f\x8e\x8a
Sat Jan 01 18:28:35 +0000 2022,AmitRoyShanta,"Dhaka, Bangladesh","Just posted a photo @ Dhaka, Bangladesh https://t.co/e1W1zxP6er"
Sat Jan 01 18:28:35 +0000 2022,cyclefixation,"Toronto, Ontario",The DVP pumping 2022! \n@crackass74 \xf0\x9f\x98\x85\n@weathernetwork when is the snow coming ???!!!! https://t.co/xTCvsiUnS2
Sat Jan 01 18:28:35 +0000 2022,gkbmukuljab,"Jabalpur, India",Wow #GunduSharma\nHappy new year boss\n@RameshSuri
Sat Jan 01 18:28:35 +0000 2022,PapiPalmtree,"Manhattan, NY",Lmao talk ya shit bro bro
Sat Jan 01 18:28:35 +0000 2022,RayDMcLean,"Foothill Ranch, CA",@KaliKalaLinaxxx Im in your corner and it does suck. But you shall overcome this. Blessings to you
Sat Jan 01 18:28:35 +0000 2022,natively_,"Phoenixville, PA",@darkskinking3 Happy New Year \xf0\x9f\x8e\x86
Sat Jan 01 18:28:35 +0000 2022,KrcTheodora,"Bryan, TX",FYI\nWHERE IS JOE BIDEN?\n\nDEMOCRACY IS BEING SUBVERTED. EXECUTIVE PRIVILEGE IS BEING WASTED. TIME IS TICKING.\n\nA SLOW BURNING \xf0\x9f\xa5\xb5 INSURRECTION BY REPUBLICANTZ ALLIANCES.\n\nDELEGATION OF DUTY NEEDS TO BE USED. JOE! YOU HAVE PEOPLE TO WORK FOR YOU.\n\nDON'T SQUADER YOUR DOMESTIC POWER!
Sat Jan 01 18:28:36 +0000 2022,Charlen31804838,"Webster, NY",@50years_music Yes l read music l took piano lessons  clarinet and violin when I  was a child! Long time ago!
Sat Jan 01 18:28:36 +0000 2022,ScrimXo,"Utah, USA",Like if I should post my best thirst traps on here from 2021 \xf0\x9f\xa4\x94 https://t.co/NLYj4XB7oi
Sat Jan 01 18:28:36 +0000 2022,UncleDonDon_,"Brooklyn, NY",I Want Bob To Stop Lying So Much For 2022 She Dangerous \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82
Sat Jan 01 18:28:36 +0000 2022,BigBlueDrew33,"Louisville, KY",No matter how many years in a row we make this a thing I just still get so much pride in the fact that UK football is going to punk their opponent in the trenches. Not long ago that notion was laughable and now it\xe2\x80\x99s their identity.
Sat Jan 01 18:28:36 +0000 2022,ERodriguez_TV,"Philadelphia, PA","Mitchell Robinson has been added to the H&amp;S Protocols, #Knicks say"
Sat Jan 01 18:28:36 +0000 2022,BKennedyTV,"Lake St Louis, MO","After what he\xe2\x80\x99s been through, great to see D\xe2\x80\x99eryk Jackson out there."
Sat Jan 01 18:28:36 +0000 2022,TheSuzPV,"Rancho Palos Verdes, CA",Happy New Year \xf0\x9f\x8e\x89 \n2022 is looking to be bright! https://t.co/OEjNyxvG8G
Sat Jan 01 18:28:36 +0000 2022,douladeeds,"Washington, DC",Happy new new \xf0\x9f\x8e\x8a yesterday was perfect. The times are the times we roll through it \xf0\x9f\x96\xa4
Sat Jan 01 18:28:36 +0000 2022,droppin_tr3ys,"Ashburn, VA",Bro just dropped a 76 pc on my head in Madden time to retire \xf0\x9f\xa4\x9d @marcus_eller
Sat Jan 01 18:28:37 +0000 2022,LikeARiverIFlow,"Thomasville, NC","2021 was an life changing , interesting ,crazy year .I became a mother lol didn\xe2\x80\x99t see that happening ,but I\xe2\x80\x99m thankful wouldn\xe2\x80\x99t change it lol. So in #2022 I\xe2\x80\x99m trying to make a lot of changes and make big things happen  so let\xe2\x80\x99s see what the new year will bring #HappyNewYear !!"
Sat Jan 01 18:28:37 +0000 2022,Azel100x,"Beylikdüzü, İstanbul",@DelCrxpto @kasta_app @LillyFinance @LuckyRooToken @ImpactXPToken Buy THE DIP!!! #shinja\n#SHINJAISTHENEXT1000X\n43K HOLDERS\xf0\x9f\xa5\xb7\xf0\x9f\x9a\x80\xf0\x9f\xa5\xb7\xf0\x9f\x9a\x80\xf0\x9f\x94\xa5\n(50K.2sekstlyonWILL BE BURNED)\n#Shibnobi\n#Metamask\n#Uniswapv2\n#Binance\n#shiba\n#BNB\n#BTC\n#CoinMarketCap\n#CoinGecko\n#Ethereum\n#ETH\n#BabyDoge\n#metavarse\nContract Address\n0xab167e816e4d76089119900e941befdfa37d6b32 https://t.co/7usl7tZiYo
Sat Jan 01 18:28:37 +0000 2022,DOngwesa,"Rift Valley, Kenya","Ruto's About Turn:\n\nThe DP now says that he is ready to work with political parties he originally described as tribal, as he woos ANC party leader Musalia Mudavadi and his Ford Kenya party leader counterpart, Moses Wetangula."
Sat Jan 01 18:28:37 +0000 2022,JasonCarpentier,"Daphne, AL","Nom nom. Fried up some Benton's bacon and then simmered the black eyed peas, bacon chunks and mustard greens. Happy New Year y'all. Love y'all! https://t.co/0kazGtr0wn"
Sat Jan 01 18:28:37 +0000 2022,JayJurden,"Manhattan, NY",Babies really just be at the beach looking helpless.\n\nIt's laughable.
Sat Jan 01 18:28:37 +0000 2022,TwoHeadedGoy,"Chicago, IL",@SweatieAngle Wtf man
Sat Jan 01 18:28:37 +0000 2022,DDelsoto,"Arkansas, USA",Bring the heat like this spicy cheese chili is going to bring my ass\xf0\x9f\x90\x97\xf0\x9f\x8c\xb6\xf0\x9f\x8f\x88\xf0\x9f\x8d\xbb https://t.co/yik1koP8Gu
Sat Jan 01 18:28:37 +0000 2022,Carlos_FArce,"Lima, Peru",Happy New Year
Sat Jan 01 18:28:37 +0000 2022,titanmukherjee,"Kolkata, India","Nothing but #DontLookUp on @netflix could have been the best thing to start with 2022, and it did! Amazing film\xe2\x80\xa6 watch it now"
Sat Jan 01 18:28:37 +0000 2022,PMFlecha,"Coímbra, Portugal",They seem to be very good friends https://t.co/qEqGniEW9Q
Sat Jan 01 18:28:38 +0000 2022,SnowL38531316,"Chicago, IL",Don\xe2\x80\x99t vent your angers out on others is my SS22\xe2\x80\x99s year goal.
Sat Jan 01 18:28:38 +0000 2022,trishatinah1,"Dubai, United Arab Emirates","Sometimes i text mi X""IMiss u Hun\xf0\x9f\x98\x98to interrupt da healing\xf0\x9f\x98\x85 #kiwedde\xf0\x9f\x92\x8d\xf0\x9f\x98\x98\xf0\x9f\x92\x83\n#tinahtrishamusic\xf0\x9f\x8e\xb6duba https://t.co/q8oVoPwyDo"
Sat Jan 01 18:28:38 +0000 2022,themanslife,"Kentucky, USA",Enjoy the freedom of a clean slate. \n\nNow go make this a meaningful year.
Sat Jan 01 18:28:38 +0000 2022,DoubleM_Mompati,Botswana,@Edith_Dikgang Yaa neh. The good people get hurt more
Sat Jan 01 18:28:38 +0000 2022,iShambhavi_,"Ghazipur, India",Congratulations and best wishes to you bhaiya
Sat Jan 01 18:28:38 +0000 2022,jonathanbarrow_,"Pearland, TX",8 days until Attack on Titan. Ready for the pain all over again
Sat Jan 01 18:28:39 +0000 2022,StephanRBarnard,"Missouri, USA",@ant_feltz @kimtopher22 I did it when I was 16 and wrote about it in my diary.  Everything on the list happened.
Sat Jan 01 18:28:39 +0000 2022,trulyblesseddad,"Pittsfield, MA",The Champagne of beer &amp; life!!
Sat Jan 01 18:28:39 +0000 2022,Jashewah,"Los Angeles, CA",How tf I have bad dreams all night long last night \xf0\x9f\x98\x82
Sat Jan 01 18:28:39 +0000 2022,KabiruMuraya__,"Rift Valley, Kenya",It's a Mozambique spitting Cobra \xf0\x9f\x90\x8d
Sat Jan 01 18:28:39 +0000 2022,TheSoulSpartan,"Mumbai, India",@pratik_thfc Shithoused 3 points. \xf0\x9f\xa4\xa3\xf0\x9f\x98\xad\xf0\x9f\x99\x8c
Sat Jan 01 18:28:39 +0000 2022,CKHyppolite,"Georgia, USA",@Andrews18Elvis They be so extra
Sat Jan 01 18:28:39 +0000 2022,_EnvyT_,"Atlanta, GA",In 2022 we not lettin these niggas give off big dick energy without the big dick\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f
Sat Jan 01 18:28:39 +0000 2022,bizzleosikoya,"Ikeja, Nigeria",This new mainland block party venue is large
Sat Jan 01 18:28:39 +0000 2022,RanchoLaMission,"Texas, USA",Just posted a photo @ Rancho La Mission https://t.co/QqDv7k1bMH
Sat Jan 01 18:28:40 +0000 2022,sdh7779,"South Carolina, USA",@NolandZeb Thanks Zeb. You are special and so important for this great season. Blessings always and #ForeverToThee
Sat Jan 01 18:28:40 +0000 2022,dejonsimmons,Bermuda,@SovereignxCtzn \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd happy new year mon
Sat Jan 01 18:28:40 +0000 2022,Gulshan98209400,"Andhra Pradesh, India",Great project\n@meeravats786 \n@ajaythxkur \n@Muskanpandit786
Sat Jan 01 18:28:40 +0000 2022,Terrc64338236,"Germantown, MD",@BriteNerd I need this in my life
Sat Jan 01 18:28:40 +0000 2022,DreaVegas,"North Las Vegas, NV","@LunaV_87 You look like a cover model, you have this classy meets sexy vibe too you. Kinda reminds me of a Pinup girl"
Sat Jan 01 18:28:40 +0000 2022,ConvertOdds,"Abuja, Nigeria","Once you call them to VAR screen, they just accept the decision..\nYou are called because those in VAR room THINK you made a mistake. You can stand your ground and say you didn't make a mistake"
Sat Jan 01 18:28:40 +0000 2022,tmj_ILS_secure,"Decatur, IL","Stop staring at the clock every day. It\'s time for a new career. Follow us to view jobs with titles like ""Security Officer - EMT"" in Decatur, IL. #SecurityOfficer #SecurityGuard"
Sat Jan 01 18:28:40 +0000 2022,Oreagles72,"Redmond, OR",Let's Fucking go!!!
Sat Jan 01 18:28:40 +0000 2022,tmj_roc_nursing,"New York, USA","Interested in a job in #Rochester, NY? This could be a great fit. Click the link in our bio to apply: Critical Care Stepdown and Cardiac Medicine Unit - Weekend Position at Highland Hospital #Nursing"
Sat Jan 01 18:28:40 +0000 2022,tmj_cao_edu,"Long Beach, CA","Can you recommend anyone for this job? Board Certified Behavior Analyst (BCBA) - https://t.co/5IgJICZFLr #Education #LongBeach, CA"
Sat Jan 01 18:28:40 +0000 2022,NWStornado,"Tennessee, USA","Tornado Warning including Dickson TN, White Bluff TN, Burns TN until 1:00 PM CST https://t.co/qlW6PnoG5a"
Sat Jan 01 18:28:40 +0000 2022,KaeWhy270,"Elizabethtown, KY",That mf slipped.
Sat Jan 01 18:28:40 +0000 2022,MArthurGH,"Greater Accra, Ghana",@swayekidd Consider Judo...\n\nNot only would you be fit but you get to learn self defense.
Sat Jan 01 18:28:40 +0000 2022,SeeJoshsPhotos,"Menifee, CA","Time Appreciation \xf0\x9f\xa5\x80\n#MenifeeRoseGarden @ Menifee, California https://t.co/H3zbX576on"
Sat Jan 01 18:28:40 +0000 2022,BarryIshimine,"Houston, TX",@TomiLahren @jwskss Hau'oli Makahiki Hou 2022! Happy Blessed New Year 2022! https://t.co/0pfxgB2keh
Sat Jan 01 18:28:40 +0000 2022,alden_aaron,"North Las Vegas, NV",@saferprint @CUSTER85 @Sanjeev_Chopra7 @Because58742391 @SapolskyDeborah @MicheleMuse5 @NoMoreTerrors @FrankenputerAOL @Resatc34Resa @_jeffreyd7 @patvl246 @jmdrake388 @stet_civitatum @GuethlieD @hunbunn5 Followed
Sat Jan 01 18:28:40 +0000 2022,jimmbsc,"Socastee, SC",@capolmateer @EdPiotrowski @golferCraig8742 @TommyCPhotogra3 @aurorachaseryyc @A_AMilne @AnnWCharles @118a22ee5e3468 @AndrewWMBF TY Colleen and enjoy a awesome 2022\xf0\x9f\x8e\x89\xf0\x9f\x98\x8e
Sat Jan 01 18:28:40 +0000 2022,Sagor7860,"Dhaka, Bangladesh",Click this link and hire me on Fiverr.\nProject link:- https://t.co/72LhCQo0dX\nProfile link:- https://t.co/ONtf8MsSzs\n\n#facebook #facebookmarketing #facebookpage  #facebookcampaign #facebookads #facebookadsmanager #facebookgroup #facebookadvertising #facebookpost  #facebooklikes
Sat Jan 01 18:28:40 +0000 2022,Thechamp2025,"Moline, IL",@Nanogenix sorry fam but I gotta dust yo team https://t.co/MK2V9Tb888
Sat Jan 01 18:28:40 +0000 2022,tmj_BHM_secure,"Tuscaloosa, AL","Allied Universal is hiring in Tuscaloosa, AL! Click the link in our bio to apply: Security Guard - Access Control #SecurityOfficer #SecurityGuard"
Sat Jan 01 18:28:40 +0000 2022,dzonershow,"Pasadena, CA",Floats 1 #RoseParade https://t.co/hmo7X9W124
Sat Jan 01 18:28:41 +0000 2022,daxoud,"Dearborn, MI",I didn't want to laugh but damn.
Sat Jan 01 18:28:41 +0000 2022,Foreigntrippinn,"Manhattan, NY",You got one time to mention some petty ass shit to me and that\xe2\x80\x99s it you ain\xe2\x80\x99t going ever here from me again
Sat Jan 01 18:28:41 +0000 2022,tmj_cae_pharm,"Irmo, SC","This Pharmacy Technician - Retail Store job might be a great fit for you. Click the link in our bio to see it and more. Pharmacy Technician at CVS Health #Irmo, SC"
Sat Jan 01 18:28:41 +0000 2022,NWSNashville,"Tennessee, USA","Tornado Warning including Dickson TN, White Bluff TN, Burns TN until 1:00 PM CST https://t.co/HuslTtbNLo"
Sat Jan 01 18:28:41 +0000 2022,site_alpha,"Rio Rancho, NM","""This homicide ended 2021 with a total of 153""."
Sat Jan 01 18:28:42 +0000 2022,crzythicrussian,"Miami Beach, FL",There\xe2\x80\x99s nothing hotter on the planet than when a guy has a huge gaping pussy \xf0\x9f\xa5\xb5\xf0\x9f\xa5\xb5
Sat Jan 01 18:28:42 +0000 2022,katrovert,"Shirley, NY",Holy... \xf0\x9f\x91\x80\xe2\x9d\xa4
Sat Jan 01 18:28:42 +0000 2022,BrooksMimi2,"Wakiso, Uganda",Aga i remove and we hopp
Sat Jan 01 18:28:42 +0000 2022,GregLernout,"Winnipeg, Manitoba",@hiyahsorry I actually pictured you when I read his tweet for some reason. You just confirmed it.
Sat Jan 01 18:28:42 +0000 2022,ricky_powers3,"Chattanooga, TN",Let\xe2\x80\x99s go!! It\xe2\x80\x99s nearly time for the best damn team in the country to play! https://t.co/Atjg0309uN
Sat Jan 01 18:28:42 +0000 2022,JoeHealey42,"Arizona, USA",My guy @MikeJackBauer! https://t.co/PSqRdW63g8
Sat Jan 01 18:28:42 +0000 2022,donasarkar,Barbados,@noonefollowsme Pls do and teach me your ways
Sat Jan 01 18:28:42 +0000 2022,dadarria,"Brooklyn, NY",Few things are more relaxing than an early afternoon grocery shop to the soothing sounds of \xe2\x80\x9cCloser\xe2\x80\x9d by Nine Inch Nails.
Sat Jan 01 18:28:43 +0000 2022,OrchidbThomas,"Brooklyn, NY",That\xe2\x80\x99s what I\xe2\x80\x99m saying\xf0\x9f\x98\xad I swear she was 110 at least
Sat Jan 01 18:28:43 +0000 2022,RonLoxton,"Cambridge, Ontario",@chrislantzster @NotreDameFan27 @CityNewsKIT Good to know.
Sat Jan 01 18:28:43 +0000 2022,FireLilyVintage,"Brooklyn, NY",\xe2\x80\x9cCourage is not having the strength to go on; it is going on when you don't have the strength.# TR\n\nThis one\xe2\x80\x99s for u dad! Another good ole Teddy Roosevelt quote. \n\nHere\xe2\x80\x99s to a new year! @ Avant Gardner https://t.co/4VpvDJRuca
Sat Jan 01 18:28:43 +0000 2022,DonnyStewart19,"Arizona, USA",@fun_gurl69 Beautiful lady
Sat Jan 01 18:28:43 +0000 2022,ArkBoSox,"Omaha, NE",Just sloppy. We cant give up another score here Hogs
Sat Jan 01 18:28:43 +0000 2022,tunadoskkkkkk,"Goiânia, Brasil",@ofcnetin netin ne
Sat Jan 01 18:28:43 +0000 2022,DanMathewsATL,"Dania Beach, FL","You knew without a shadow of a doubt this performance was coming? Then why is Kirby consistently asked about his QB situation? If Stetson was such \xe2\x80\x9cTHE GUY\xe2\x80\x9d coming into last night, then why was it being asked. He played great. Happy for him."
Sat Jan 01 18:28:43 +0000 2022,dancast38,"San Pedro Garza García, Nuevo León",Calzada ! Walking\xe2\x80\xa6. https://t.co/YTqC0MvPdr
Sat Jan 01 18:28:43 +0000 2022,zedlaV559,"Fresno, CA","ALL PLATFORMS!! It\xe2\x80\x99s the Post Vasectomy Show! @JTT81 bringing that #BillsMafia love, we halfass Power Rank Top 5 #NFL and some #MMATwitter goodies. Is Jake Paul the Combat Sports Fighter of 2021?"
Sat Jan 01 18:28:44 +0000 2022,BrettsTaken,"Hiawatha, IA",Iowa can\xe2\x80\x99t throw a ball further than 8 yards. Qb is slow and locks on one receivers forces throws and is NOT accurate #CitrusBowl
Sat Jan 01 18:28:44 +0000 2022,Bobby_VE3,"Bentonville, AR",@SethDuvall1 It's weird bro like briles is being briles but worst
Sat Jan 01 18:28:44 +0000 2022,liquid4brains,"Riverview, FL",food kinda slaps when ur hungry
Sat Jan 01 18:28:44 +0000 2022,UttamSi66882544,"Ghaziabad, India",@sunilsharma_bjp @myogiadityanath Get well soon
Sat Jan 01 18:28:44 +0000 2022,LSundinBaseball,"Tennessee, USA",Dulins Dodgers 15u fall https://t.co/uJd0PUe9CQ
Sat Jan 01 18:28:44 +0000 2022,Mykoshia,"Houston, TX",More art this year
Sat Jan 01 18:28:44 +0000 2022,MrGoodlyCooks,"New Orleans, LA","Just seen a group of young fellas in creased khaki shorts, powder blue button downs, red and blue striped ties, navy blazers, and Ole Miss Mardi Gras beads. The Grove has made its way to New Orleans."
Sat Jan 01 18:28:44 +0000 2022,klausenhauser,"Scuol, Switzerland",@GntlmnScientist I actually had no idea what my route was \xf0\x9f\x98\x85. Thought I had to do a mountain pass but thankfully winter closed it and this was the other option. There\xe2\x80\x99s a second one in Switzerland that shortcuts another mountain range.
Sat Jan 01 18:28:44 +0000 2022,DougHenwood,"Brooklyn, NY",@stephenmk Good luck!
Sat Jan 01 18:28:44 +0000 2022,dietChola,"St Paul, MN",Just discovered that plain hot coffee is actually better than iced coffee this truly is a new year
Sat Jan 01 18:28:45 +0000 2022,gerald_joseph90,"Washington, DC",@itsmetheHBIC This is so fun and messy. I LOVE it. https://t.co/vxR8JaW9F4
Sat Jan 01 18:28:45 +0000 2022,cordae_d4d,"Texas, USA",if she doesn't get her way she turns into a brat spoiled self.
Sat Jan 01 18:28:45 +0000 2022,viejito67,"San Antonio, TX","@cheapcaribbean Stay healthy and live a long life!! 2021 I was sick 90% of the time, Vertigo + De Quervain's tenosynovitis in both hands ughhhh"
Sat Jan 01 18:28:45 +0000 2022,dumbdudedi,"Washington, DC",@SirUltraSlut Happy birthdayyyyy
Sat Jan 01 18:28:45 +0000 2022,ComptonMinke,"Oklahoma City, OK",Want to wish my Classmate @loganwardd congratulations for getting to the PlayStation Fiesta Bowl!!!! #GOPOKES #PISTOLSFIRING
Sat Jan 01 18:28:45 +0000 2022,stephattwater,"Halifax, Nova Scotia",@NathanMackBrown Stayed home and binged the new season of @CobraKaiSeries which was AMAZING!!
Sat Jan 01 18:28:45 +0000 2022,Trevss_,"Lester, PA",McGrind\xf0\x9f\x92\xaf
Sat Jan 01 18:28:45 +0000 2022,Chamika88808379,Sri Lanka,FFC Graduation \xf0\x9f\x98\x8d\xf0\x9f\x92\x95 https://t.co/Pz0lN56Co7
Sat Jan 01 18:28:45 +0000 2022,PurestFood,The Purest Coffee,Today we will be open from 12 PM to 5 PM \nAnd we are saving meals 0nly  no buffet \n\nOur menu \nChicken tikka Masala \nKorma panner \nPalak Paneer https://t.co/QvZi4CX85Q
Sat Jan 01 18:28:45 +0000 2022,KalinaLynn13,"Lynnwood, WA",Making more lesbian cinnamon rolls
